,제목,tag,story_tag
1281,트랜스포머 프라임 시즌 2,"외계인, 로봇, 전사","배틀, 전쟁, 무거움, 액션, 아동, SF, 상상의 장소"
1282,어그레츠코 : 회사는 열바다,"동물, 발랄가볍, 귀여움","성장, 일상, 개그, 로맨스, 회사"
1283,디사이드 트로이메라이,nan,"판타지, 액션"
1284,겟타 로보 아크,"열혈, 로봇","배틀, 액션, SF"
1285,도사의 무녀 : 새겨진 일섬의 등불,"미소녀, 이능력, 싸우는 미소녀","배틀, 대회, 판타지, 액션"
1286,핑구 시즌 5,동물,"감동, 아동, 일상, 개그, 상상의 장소"
1287,(더빙) 호빵맨 1기,"히어로, 귀여움","감동, 판타지, 아동, 치유, 마을"
1288,2.43 세인고교 남자 배구부,nan,"우정, 성장, 스포츠, 학교, 경기장, 노이타미나"
1289,바람이 분다,귀여움,"가족, 감동, 몽환, 판타지, 치유, 농촌"
1290,로비하치,외계인,"감동, 판타지, 개그, SF, 마을"
1291,원피스 SPECIAL 3D2Y,"이능력, 카리스마","우정, 성장, 배틀, 판타지, 액션, 개그, 바다, 섬"
1292,"테니스의 왕자 ""아토베 케이고"" 에피소드 모음집",nan,nan
1293,신 도라에몽 6기,"동물, 발랄가볍, 귀여움","우정, 성장, 감동, 판타지, 아동, 일상, 개그, SF, 치유, 학교, 마을, 집"
1294,(더빙) 지브리 컬렉션 vol. 1,귀여움,"가족, 감동, 몽환, 판타지, 치유, 농촌"
1295,더블데커! 더그&키릴,"히어로, 이능력, 경찰","경쟁, 판타지, 액션, SF, 범죄"
1296,낮잠공주 : 모르는 나의 이야기,발랄가볍,"가족, 감동, 판타지"
1297,엉덩이 탐정 시즌 1,nan,"아동, 개그, 추리"
1298,(더빙) 키테레츠 대백과 시즌 6,발랄가볍,"우정, 감동, 일상, 개그, SF, 학교, 마을, 집, 회사"
1299,선배가 짜증나는 후배이야기,"발랄가볍, 귀여움","개그, 로맨스, 회사"
1300,삶은 아이돌,발랄가볍,일상
1301,드래곤볼 슈퍼 3기,"열혈, 먼치킨, 카리스마","성장, 경쟁, 대회, 판타지, 액션, 마을, 경기장"
1302,(더빙) 파워레인저 트레저포스 HD,"히어로, 로봇","액션, SF"
1303,츠쿠모가미 빌려드립니다,"요괴 및 괴물, 발랄가볍","일상, 시대물, 마을"
1304,겁쟁이 페달 : 리제너레이션,"열혈, 오타쿠, 먼치킨","우정, 성장, 경쟁, 동아리, 감동, 스포츠, 학교, 마을, 경기장"
1305,마술사 오펜 뜻밖의 여행,nan,"가족, 마법, 판타지, 액션, 미스터리, 상상의 장소"
1306,(더빙) 닌자보이 란타로 : 삼총사의 대모험 - 판권 부활,귀여움,"성장, 판타지, 아동, 학교, 집"
1307,극장판 숲의 요정 페어리루 ~ 크리스마스의 기적 : 마법의 날개 ~,발랄가볍,"우정, 마법, 감동, 판타지, 아동, 개그"
1308,기동전사 건담 내러티브,로봇,"배틀, 정치, 무거움, 철학, 액션, SF"
1309,트랜스포머 프라임 시즌 3,"외계인, 로봇, 전사","배틀, 전쟁, 무거움, 액션, 아동, SF, 상상의 장소"
1310,(더빙) 루팡 3세 PART 4,"탐정, 먼치킨","두뇌싸움, 비밀조직, 서양풍, 추리, 범죄"
1311,(더빙) 토리코 3D : 개막! 구르메 어드벤쳐,"이능력, 열혈, 헌터","배틀, 판타지, 액션, 개그, 음식"
1312,천총사,nan,"판타지, 액션"
1313,아르르르!,발랄가볍,개그
1314,풀 메탈 패닉! 1st Section - Boy Meets Girl,"로봇, 교복","액션, 개그, SF, 학교"
1315,마법소녀 특수전 아스카,"마법소녀, 싸우는 미소녀","무거움, 판타지, 액션"
1316,Fairy gone part 2,이능력,"무거움, 판타지, 액션, 시대물, 디스토피아"
1317,우주특공대 바이오맨,"히어로, 이능력, 로봇",액션
1318,(더빙) 루팡 3세 PART 5,"탐정, 먼치킨","두뇌싸움, 비밀조직, 서양풍, 추리, 범죄"
1319,도깨비 언덕에 왜 왔니?,"요괴 및 괴물, 발랄가볍",판타지
1320,안녕 자두야 3기,귀여움,"가족, 감동, 아동, 일상, 개그, 시대물"
1321,프레이터의 상처,"이능력, 미소년","무거움, 판타지, 액션"
1322,요란 THE PRINCESS OF SNOW AND BLOOD,요괴 및 괴물,"무거움, 판타지, 액션, 시대물"
1323,바쿠온!! - 판권 부활,"미소녀, 발랄가볍, 교복","동아리, 스포츠, 학교"
1324,걸즈 앤 판처 : 제 63회 전차도 전국 고교생 대회,"미소녀, 싸우는 미소녀, 귀여움","우정, 성장, 액션, 학교"
1325,(더빙) 원피스 26기,"이능력, 카리스마","우정, 성장, 배틀, 판타지, 액션, 개그, 바다, 섬"
1326,쓰르라미 울 적에 졸,교복,"두뇌싸움, 루프물, 무거움, 판타지, 추리, 공포, 학교, 마을"
1327,86 -에이티식스- 2기,로봇,"전쟁, 무거움, 철학, 액션, SF"
1328,안녕 자두야 2기,귀여움,"가족, 감동, 아동, 일상, 개그, 시대물"
1329,개구쟁이 스머프,발랄가볍,"감동, 아동, 일상, 개그"
1330,노예구 The Animation,nan,"두뇌싸움, 무거움, 미스터리, 범죄, 스릴러"
1331,(더빙) 파워레인저 루팡포스 VS 패트롤포스,"히어로, 로봇","액션, SF"
1332,안녕자두야 스페셜: 인어공주,귀여움,"가족, 감동, 아동, 일상, 개그, 시대물"
1333,자이언트 킬링,nan,"우정, 성장, 두뇌싸움, 스포츠, 경기장"
1334,게드 전기 : 어스시의 전설,귀여움,"가족, 감동, 몽환, 판타지, 시대물, 치유, 마을, 농촌"
1335,(자막) 토리코 part 3,"이능력, 열혈, 헌터","배틀, 판타지, 액션, 개그, 음식"
1336,불길한 바르하이트 -ZUERST-,nan,"무거움, 판타지, 액션, 범죄, 드라마"
1337,소멸도시,nan,"두뇌싸움, 무거움, 판타지, SF, 디스토피아"
1338,(더빙) 지브리 컬렉션 vol. 2,귀여움,"가족, 감동, 몽환, 판타지, 치유, 농촌"
1339,(더빙) 극장판 원피스 1기 : 황금의 대해적 우난,"이능력, 카리스마","우정, 성장, 배틀, 판타지, 액션, 개그, 바다, 섬"
1340,백 애로우,로봇,액션
1341,"(자막) 테니스의 왕자 OVA : another story I, II","교복, 미소년, 먼치킨","성장, 배틀, 경쟁, 판타지, 스포츠, 학교, 경기장"
1342,(더빙) 토끼네 집으로 오세요 시즌 3,nan,"우정, 가족, 감동, 아동, 일상, 마을, 집"
1343,초신성 플래시맨,"히어로, 이능력, 로봇",액션
1344,썬더 일레븐 GO,nan,"우정, 배틀, 감동, 판타지, 스포츠"
1345,"테니스의 왕자 ""테즈카"" 특별 모음",nan,nan
1346,핑구 인 더 시티,동물,"감동, 아동, 일상, 개그"
1347,총몇명TV,nan,미스터리
1348,(더빙) 꼬마마법사 레미 : 견습 마법사를 찾아서,"마법소녀, 발랄가볍","성장, 마법, 감동, 판타지, 아동, 일상, 학교, 마을"
1349,신세기 사이버 포뮬러 11,자동차,"경쟁, 철학, 액션, SF, 스포츠, 경기장"
1350,8월의 신데렐라 나인,"미소녀, 열혈, 발랄가볍","우정, 동아리, 스포츠, 학교, 경기장"
1351,(더빙) 꼬마마법사 레미 포르테 : 개구리 바위의 비밀,"마법소녀, 발랄가볍","성장, 마법, 감동, 판타지, 아동, 일상, 학교, 마을"
1352,(더빙) 고 녀석 맛나겠다,공룡,"성장, 가족, 감동, 아동, 로맨스"
1353,트윈엔젤 브레이크,"미소녀, 이능력, 마법소녀, 발랄가볍, 전사, 귀여움","판타지, 액션, 개그, 학교"
1354,Lostorage conflated WIXOSS,"미소녀, 교복","우정, 배틀, 게임, 두뇌싸움, 무거움, 몽환, 액션, 스릴러, 마을, 상상의 장소, 집"
1355,오르텐시아 사가,nan,"마법, 무거움, 판타지, 액션"
1356,(더빙) 키테레츠 대백과 시즌 5,발랄가볍,"우정, 감동, 일상, 개그, SF, 학교, 마을, 집, 회사"
1357,카시카,nan,"정치, 역하렘, 감동, 로맨스, 드라마"
1358,마이 리틀 포니 1,동물,"우정, 마법, 감동, 철학, 판타지, 아동, 일상, 음악"
1359,BEM,요괴 및 괴물,"판타지, 액션"
1360,경시청 특무부 특수흉악범 대책실 제 7과 -토쿠나나-,경찰,"액션, 범죄"
1361,(더빙) 갓파 쿠와 여름방학을,"요괴 및 괴물, 발랄가볍","우정, 감동, 아동"
1362,가부키부!,nan,"동아리, 연기, 일상, 개그, 로맨스, 학교"
1363,(자막) 토리코 part 4,"이능력, 열혈, 헌터","배틀, 판타지, 액션, 개그, 음식"
1364,"세계 최고의 암살자, 이세계 귀족으로 전생하다",nan,"이세계, 판타지, 액션"
1365,(더빙) 쥬얼펫 : 스위트 댄스 프린세스 - 판권 부활,발랄가볍,"우정, 마법, 감동, 판타지, 아동, 일상, 개그"
1366,캡틴 츠바사,"열혈, 먼치킨","성장, 감동, 액션, 스포츠, 경기장"
1367,무민밸리 대소동,동물,"가족, 감동"
1368,비밀결사 매발톱단 시즌4 (MAX),발랄가볍,"일상, 개그"
1369,장갑 소녀 전기,로봇,"액션, SF"
1370,극장판 안녕 자두야,귀여움,"가족, 감동, 아동, 일상, 개그, 시대물"
1371,반지의 비밀일기 part 1,발랄가볍,"우정, 아동, 일상, 개그, 로맨스"
1372,소녀이야기,nan,nan
1373,숨바꼭질,nan,nan
1374,마루 위 구름,동물,일상
1375,WIXOSS DIVA (A) LIVE,"미소녀, 교복","우정, 배틀, 게임, 두뇌싸움, 무거움, 몽환, 액션, 스릴러, 마을, 상상의 장소, 집"
1376,드래곤볼 Z KAI 1기,"열혈, 먼치킨, 카리스마","성장, 경쟁, 대회, 판타지, 액션, 마을, 경기장"
1377,아프리카의 샐러리맨,nan,"일상, 개그, 회사"
1378,(더빙) 극장판 원피스 6기 : 오마츠리 남작과 비밀의 섬,"이능력, 카리스마","우정, 성장, 배틀, 판타지, 액션, 개그, 바다, 섬"
1379,안녕! 괴발개발,발랄가볍,"가족, 감동, 아동, 일상, 개그"
1380,극장판 Selector: Destructed WIXOSS,"미소녀, 교복","우정, 배틀, 게임, 두뇌싸움, 무거움, 몽환, 액션, 스릴러, 마을, 상상의 장소, 집"
1381,마음의 소리 스페셜 1 : 효! 크러쉬,nan,"일상, 개그, 마을"
1382,(더빙) 극장판 빨간머리 앤: 그린 게이블로 가는 길,nan,nan
1383,(자막) 요리왕 비룡 더 마스터 part 2,먼치킨,"배틀, 경쟁, 대회, 시대물, 음식, 경기장, 상점"
1384,(더빙) 낮잠공주 : 모르는 나의 이야기,발랄가볍,"가족, 감동, 판타지"
1385,루팡 3세 : 더 퍼스트,"탐정, 먼치킨","두뇌싸움, 비밀조직, 서양풍, 추리, 범죄"
1386,(더빙) 요리왕 비룡 더 마스터 part 1,먼치킨,"배틀, 경쟁, 대회, 시대물, 음식, 경기장, 상점"
1387,쁘띠쁘띠 뮤즈,"마법소녀, 발랄가볍","가족, 마법, 감동, 판타지, 아동, 개그"
1388,(더빙) 루팡 3세 스페셜 : 헤밍웨이 페이퍼의 수수께끼,"탐정, 먼치킨","두뇌싸움, 비밀조직, 서양풍, 추리, 범죄"
1389,숲의 요정 페어리루 시즌3 ~마법의 펜듈럼~,발랄가볍,"우정, 마법, 감동, 판타지, 아동, 개그"
1390,달빛궁궐,nan,"감동, 판타지, 아동, 시대물, 왕궁 및 성"
1391,비밀결사 매발톱단 시즌5 (KR),발랄가볍,"일상, 개그"
1392,음악소녀,"미소녀, 발랄가볍, 아이돌",음악
